,Unnamed: 0,policy_number,claim_number,make_x,Type,luxury_model,surveyorclassification,reapairer_type,type_of_claim,netlabmountsum,parts_net_amountsum,losscategory,amount_paid_y,year_month,product_code,model,pol_no,year_of_manufacture,Ageofthevehicle,addon_type
902567,1179018,MOP5221339000100,PM00714102,MARUTI,NHE_OEM,NHE,External,DEALER,OEM,5457.5,4692.2300000000005,SmallLoss,10275.0,2019,VPC,IGNIS Alpha,MOP5221339000100,2017,Lessthan4years,DEP
902568,1179019,HOP0626558000100,PV00484305,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,7337.83,1546.24,SmallLoss,10316.0,2018,VPC,City,HOP0626558000100,2017,Lessthan4years,DEP
902569,1179020,HOP0581540000100,HP00051052,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,5276.070000000001,2767.4,SmallLoss,10415.0,2019,VPC,Amaze 1.2 E MT - Petrol,HOP0581540000100,2015,Lessthan4years,DEP
902570,1179021,HOP0558354000100,HP00034940,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,6513.6,1818.24,SmallLoss,9935.0,2018,VPC,All New City VX MT,HOP0558354000100,2014,Lessthan4years,DEP
902571,1179022,HOP0585713000100,HP00045074,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,1718.08,7926.650000000001,SmallLoss,9935.0,2018,VPC,All New City VX O Diesel,HOP0585713000100,2016,Lessthan4years,DEP
902572,1179023,HOP0585713000100,HP00045709,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,20665.93,0.0,SmallLoss,22100.0,2019,VPC,All New City VX O Diesel,HOP0585713000100,2016,Lessthan4years,DEP
902573,1179024,HOP0600230000100,HP00044369,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,7721.62,1401.6,SmallLoss,10462.0,2018,VPC,City,HOP0600230000100,2017,Lessthan4years,DEP
902574,1179025,HOP0600230000100,HP00050094,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,14705.75,0.0,SmallLoss,15504.0,2019,VPC,City,HOP0600230000100,2017,Lessthan4years,DEP
902575,1179026,HOP0600230000100,HP00035839,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,21889.59,1546.24,SmallLoss,26467.0,2018,VPC,City,HOP0600230000100,2017,Lessthan4years,DEP
902576,1179028,HOP0598101000100,HP00045452,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,10266.59,0.0,SmallLoss,10462.0,2018,VPC,All New Jazz V CVT,HOP0598101000100,2018,Lessthan4years,DEP
902577,1179029,HOP0588667000100,HP00049503,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,11674.63,0.0,SmallLoss,10462.0,2019,VPC,Brio S,HOP0588667000100,2015,Lessthan4years,NONDEP
902578,1179030,HOP0619643000100,HP00049200,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,7447.269999999999,1565.3,SmallLoss,10463.0,2019,VPC,City,HOP0619643000100,2014,Greaterthan4years,DEP
902579,1179031,HOP0572956000100,HP00037885,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,8348.5,1084.85,SmallLoss,10465.0,2018,VPC,Amaze 1.2 VX MT - Petrol,HOP0572956000100,2015,Lessthan4years,DEP
902580,1179032,HOP0616227000100,HP00046715,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,10233.55,0.0,SmallLoss,10434.0,2019,VPC,WRV,HOP0616227000100,2017,Lessthan4years,DEP
902581,1179033,HOP0586655000100,HP00047260,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,7280.6,1710.08,SmallLoss,10470.0,2019,VPC,All New City VX O Petrol,HOP0586655000100,2016,Lessthan4years,DEP
902582,1179034,HOP0637064000100,HP00047252,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,7553.469999999999,1517.66,SmallLoss,10472.0,2019,VPC,All New City VX MT,HOP0637064000100,2016,Lessthan4years,DEP
902583,1179035,HOP0569011000100,HP00041250,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,7553.469999999999,1502.55,SmallLoss,10442.0,2018,VPC,All New City VX MT,HOP0569011000100,2014,Lessthan4years,DEP
902584,1179036,HOBL105185000100,HP00050920,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,6273.17,1709.7900000000002,SmallLoss,9415.0,2019,VPC,WRV,HOBL105185000100,2018,Lessthan4years,NONDEP
902585,1179037,HOBL105185000100,HP00050652,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,6519.5,2267.82,SmallLoss,10676.0,2019,VPC,WRV,HOBL105185000100,2018,Lessthan4years,NONDEP
902586,1179038,HOP0550010000100,HP00036203,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,6268.75,2236.46,SmallLoss,10445.0,2018,VPC,City,HOP0550010000100,2017,Lessthan4years,DEP
902587,1179039,HOP0576782000100,HP00039144,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,11652.5,0.0,SmallLoss,10445.0,2018,VPC,Brio S Option,HOP0576782000100,2012,Greaterthan4years,NONDEP
902588,1179040,HOP0576782000100,HP00049252,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,14691.0,0.0,SmallLoss,13435.0,2019,VPC,Brio S Option,HOP0576782000100,2012,Greaterthan4years,NONDEP
902589,1179041,HOP0646841000100,HP00047120,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,7224.549999999999,1704.84,SmallLoss,10414.0,2019,VPC,All New Jazz VX MT,HOP0646841000100,2015,Lessthan4years,DEP
902590,1179042,HOP0553961000100,HP00036274,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,9347.96,0.0,SmallLoss,9421.0,2018,VPC,Mobilio V MT - Petrol,HOP0553961000100,2015,Lessthan4years,DEP
902591,1179043,HOP0585267000100,HP00038623,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,10243.87,0.0,SmallLoss,10326.0,2018,VPC,Jazz,HOP0585267000100,2018,Lessthan4years,DEP
902592,1179044,HOP0585267000100,HP00046584,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,8909.0,8220.529999999999,SmallLoss,17880.0,2019,VPC,Jazz,HOP0585267000100,2018,Lessthan4years,DEP
902593,1179045,HOP0595066000100,HP00046086,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,8714.89,815.97,SmallLoss,10326.0,2019,VPC,City,HOP0595066000100,2018,Lessthan4years,DEP
902594,1179046,HOP0579528000100,HP00044219,HONDA,NHE_OEM,NHE,Internal,DEALER,OEM,7748.18,3735.32,SmallLoss,10470.0,2018,VPC,City New 1.5 GXI MT,HOP0579528000100,2008,Greaterthan4years,NONDEP
